ZoteroScannableCite	bibliographicCitation_cl
{ | Pouzar, 1967 | | |zu:4723341:MHZQK5GA}	(Pouzar 1967)
{ | Pouzar, 1971 | | |zu:4723341:7PF46JMM}	(Pouzar 1971)
{ | Psurtseva, et al., 2007 | | |zu:4723341:YJBQBY6V}	(Psurtseva et al. 2007)
{ | Puolasmaa, et al., 2008 | | |zu:4723341:BMR4JZCS}	(Puolasmaa et al. 2008)
{ | Quélet, 1879 | | |zu:4723341:44PLH6M8}	(Quélet 1879)
{ | Renvall, 1992 | | |zu:4723341:8A82ARPV}	(Renvall 1992)
{ | Renvall, 2005 | | |zu:4723341:7QCMPRZZ}	(Renvall 2005)
{ | Riebesehl, et al., 2019 | | |zu:4723341:AJY9DA58}	(Riebesehl et al. 2019)
{ | Roberts, 1999 | | |zu:4723341:2NGKGXGQ}	(Roberts 1999)
{ | Rogers, & Jackson, 1943 | | |zu:4723341:RT96AFJX}	(Rogers & Jackson 1943)
{ | Romell, 1926 | | |zu:4723341:HENJR3UL}	(Romell 1926)
{ | Runnel, et al., 2019 | | |zu:4723341:E4PFEBF3}	(Runnel et al. 2019)
{ | Ruokolainen, et al., 2015 | | |zu:4723341:YP9KXYJN}	(Ruokolainen & Manninen 2015)
{ | Ruokolainen, et al., 2018 | | |zu:4723341:4A5Z5WXH}	(Ruokolainen et al. 2018a)
{ | Ryvarden, & Gilbertson, 1993 | | |zu:4723341:M7VSDZJZ}	(Ryvarden & Gilbertson 1993)
{ | Ryvarden, & Melo, 2014 | | |zu:4723341:7Z3JPGQV}	(Ryvarden & Melo 2014)
{ | Saitta, & Melo, 2013 | | |zu:4723341:VWIUELIF}	(Saitta & Melo 2013)
{ | Savchenko, et al., 2021 | | |zu:4723341:3F4IDLNQ}	(Savchenko et al. 2021)
{ | Schrader, 1794 | | |zu:4723341:B7AQLHQJ}	(Schrader 1794)
{ | Shakhova, & Volobuev, 2020 | | |zu:4723341:IXW4XTEE}	(Shakhova & Volobuev 2020)
{ | Shiryaev, 2004 | | |zu:4723341:EHGT7WJT}	(Shiryaev 2004)
{ | Shiryaev, 2006 | | |zu:4723341:4QUNLIF8}	(Shiryaev 2006)
{ | Shiryaev, 2007 | | |zu:4723341:SJCNF4LC}	(Shiryaev 2007)
{ | Shiryaev, 2008 | | |zu:4723341:XBBUAYDJ}	(Shiryaev 2008a)
{ | Shiryaev, 2020 | | |zu:4723341:DQL4WAHR}	(Shiryaev 2020)
{ | Shiryaev, et al., 2018 | | |zu:4723341:MEFPD6TV}	(Shiryaev et al. 2018)
{ | Shorohova, et al., 2019 | | |zu:4723341:UYIX3SGR}	(Shorohova et al. 2019)
{ | Siitonen, et al., 2001 | | |zu:4723341:TQ8SMYPL}	(Siitonen et al. 2001)
{ | Spirin, & Zmitrovich, 2003 | | |zu:4723341:9LY7DQVD}	(Spirin & Zmitrovich 2003)
{ | Spirin, & Zmitrovich, 2007 | | |zu:4723341:2VI7KDYE}	(Spirin & Zmitrovich 2007a)
{ | Spirin, & Zmitrovich, 2007 | | |zu:4723341:3W9NAAPB}	(Spirin & Zmitrovich 2007b)
{ | Spirin, 2001 | | |zu:4723341:DVIIVDVE}	(Spirin 2001a)
{ | Spirin, 2005 | | |zu:4723341:GUAASSU8}	(Spirin 2005)
{ | Spirin, 2007 | | |zu:4723341:MZZW48B4}	(Spirin 2007a)
{ | Spirin, et al., 2005 | | |zu:4723341:TIEJHBN9}	(Spirin et al. 2005)
{ | Spirin, et al., 2006 | | |zu:4723341:VI8UWZAP}	(Spirin et al. 2006a)
{ | Spirin, et al., 2007 | | |zu:4723341:RJYS6PMR}	(Spirin et al. 2007b)
{ | Spirin, et al., 2007 | | |zu:4723341:YKK45H7Y}	(Spirin et al. 2007a)
{ | Spirin, et al., 2013 | | |zu:4723341:BN9S2WTP}	(Spirin et al. 2013b)
{ | Spirin, et al., 2013 | | |zu:4723341:RFNS7K3X}	(Spirin et al. 2013a)
{ | Spirin, et al., 2015 | | |zu:4723341:38A4EI6B}	(Spirin et al. 2015b)
{ | Spirin, et al., 2015 | | |zu:4723341:IGBX5DYT}	(Spirin et al. 2015a)
{ | Spirin, et al., 2016 | | |zu:4723341:5NZVGCQI}	(Spirin et al. 2016b)
{ | Spirin, et al., 2016 | | |zu:4723341:DXZYFKGI}	(Spirin et al. 2016a)
{ | Spirin, et al., 2016 | | |zu:4723341:EH7BMNST}	(Spirin et al. 2016c)
{ | Spirin, et al., 2017 | | |zu:4723341:286GELDS}	(Spirin et al. 2017b)
{ | Spirin, et al., 2017 | | |zu:4723341:L5K42DFE}	(Spirin et al. 2017a)
{ | Spirin, et al., 2018 | | |zu:4723341:5KWW3TJ3}	(Spirin et al. 2018a)
{ | Spirin, et al., 2018 | | |zu:4723341:KLZ4J6CB}	(Spirin et al. 2018c)
{ | Spirin, et al., 2018 | | |zu:4723341:MYHLUI6Q}	(Spirin et al. 2018b)
{ | Spirin, et al., 2019 | | |zu:4723341:44D92E6C}	(Spirin et al. 2019c)
{ | Spirin, et al., 2019 | | |zu:4723341:NQ4ZKH75}	(Spirin et al. 2019b)
{ | Spirin, et al., 2019 | | |zu:4723341:TCPDWDZ3}	(Spirin et al. 2019a)
{ | Spirin, et al., 2020 | | |zu:4723341:K5ZQSZPM}	(Spirin et al. 2020)
{ | Spirin, et al., 2021 | | |zu:4723341:3IJ7LCXN}	(Spirin et al. 2021a)
{ | Spirin, et al., 2021 | | |zu:4723341:7QFXIFTJ}	(Spirin et al. 2021c)
{ | Spirin, et al., 2021 | | |zu:4723341:APSEVCZI}	(Spirin et al. 2021b)
{ | Stepanchikova, et al., 2010 | | |zu:4723341:FIJGZBXN}	(Stepanchikova et al. 2010)
{ | Stepanchikova, et al., 2013 | | |zu:4723341:GXPWDLCJ}	(Stepanchikova et al. 2013)
{ | Stepanchikova, et al., 2014 | | |zu:4723341:2YBK5NZR}	(Stepanchikova et al. 2014)
{ | Stepanchikova, et al., 2017 | | |zu:4723341:U5H7EJQS}	(Stepanchikova et al. 2017)
{ | Stepanchikova, et al., 2018 | | |zu:4723341:ZAUYLNJ4}	(Stepanchikova et al. 2018)
{ | Stepanchikova, et al., 2019 | | |zu:4723341:KC9TND9T}	(Stepanchikova et al. 2019)
{ | Stepanchikova, et al., 2020 | | |zu:4723341:TRNWKL54}	(Stepanchikova et al. 2020)
{ | Stepanchikova, et al., 2021 | | |zu:4723341:6BLVAMEN}	(Stepanchikova et al. 2021)
{ | Svetasheva, et al., 2017 | | |zu:4723341:8F7GFBSQ}	(Svetasheva et al. 2017a)
{ | Talbot, 1965 | | |zu:4723341:NSWEVY6X}	(Talbot 1965)
{ | Tarasova, et al., 2020 | | |zu:4723341:88769ZE6}	(Tarasova et al. 2020)
{ | Thesleff, 1920 | | |zu:4723341:Y5APXPLL}	(Thesleff 1920)
{ | Thorn, et al., 1990 | | |zu:4723341:MAJ9JCXF}	(Thorn et al. 1990)
