ZoteroScannableCite	bibliographicCitation_cl
{ | Трусова, 1913 | | |zu:4723341:D9K9VL5K}	(Trusova 1913)
{ | Тычинин, & Кузьмина, 2003 | | |zu:4723341:5ZV3M7B5}	(Tychinin & Kuzmina 2003)
{ | Урбанавичене, & Урбанавичюс, 2021 | | |zu:4723341:25BLXMCI}	(Urbanavichene & Urbanavichus 2021)
{ | Урбанавичюс, & Урбанавичене, 2014 | | |zu:4723341:4QWHKG3W}	(Urbanavichus & Urbanavichene 2014)
{ | Урбанавичюс, & Фадеева, 2018 | | |zu:4723341:VIGXSULV}	(Urbanavichus & Fadeeva 2018)
{ | Урбанавичюс, et al., 2007 | | |zu:4723341:P5ZFQYSX}	(Urbanavichus et al. 2007b)
{ | Урбанавичюс, et al., 2008 | | |zu:4723341:XKPTPA2J}	(Urbanavichus & Urbanavichene 2008)
{ | Ушакова, 2000 | | |zu:4723341:QZSWZHJ3}	(Ushakova 2000)
{ | Фадеева, et al., 2007 | | |zu:4723341:NSMA7MVB}	(Fadeeva et al. 2007)
{ | Федяева, 2014 | | |zu:4723341:NDJVIM8D}	(Fedyaeva 2014)
{ | Фирсов, et al., 2021 | | |zu:4723341:BQYYDVP4}	(Firsov et al. 2021)
{ | Хермансон, & Дегтева, 1997 | | |zu:4723341:7VEX9QA7}	(Hermansson 1997)
{ | Хижнякова, et al., 2021 | | |zu:4723341:BV2AGBRM}	(Khizhnyakova et al. 2021)
{ | Химич, & Змитрович, 2019 | | |zu:4723341:XPFSQNLF}	(Khimich & Zmitrovich 2019)
{ | Химич, & Исаева, 2014 | | |zu:4723341:BYFYMLK5}	(Khimich & Isaeva 2014)
{ | Химич, 2013 | | |zu:4723341:5NZQ6LEF}	(Khimich 2013)
{ | Химич, et al., 2015 | | |zu:4723341:BPLJZMQ7}	(Khimich et al. 2015)
{ | Химич, et al., 2015 | | |zu:4723341:I4NGZB29}	(Khimich & Isaeva 2015)
{ | Химич, et al., 2016 | | |zu:4723341:6WFABS2S}	(Khimich et al. 2016b)
{ | Химич, et al., 2016 | | |zu:4723341:LEP6BSMN}	(Khimich et al. 2016c)
{ | Химич, et al., 2017 | | |zu:4723341:R3JHUW8M}	(Khimich et al. 2017b)
{ | Химич, et al., 2021 | | |zu:4723341:8UKAHUW3}	(Khimich et al. 2021)
{ | Цвелев, 2000 | | |zu:4723341:E9K4R8BW}	(Tzvelev 2000)
{ | Частухин, & Николаевская, 1969 | | |zu:4723341:ZGI4X4H7}	(Chastukhin & Nikolaevskaya 1969)
{ | Частухин, 2011 | | |zu:4723341:HKP67NKW}	(Chastukhin 2011)
{ | Частухин, et al., 1948 | | |zu:4723341:G3E4JXKA}	(Chastukhin 1948a)
{ | Частухин, et al., 1948 | | |zu:4723341:Q4MLUTJ3}	(Chastukhin 1948b)
{ | Частухин, et al., 1952 | | |zu:4723341:D77MDHDC}	(Chastukhin 1952)
{ | Частухин, et al., 1953 | | |zu:4723341:CU7GL95Q}	(Chastukhin & Nikolaevskaya 1953)
{ | Чердинцев, et al., 2015 | | |zu:4723341:F3MBWX8S}	(Cherdintsev et al. 2015)
{ | Черепанова, et al., 1982 | | |zu:4723341:FRZGUP6Z}	(Czerepanova et al. 1982)
{ | Чкалов, 2017 | | |zu:4723341:7YP5STLY}	(Chkalov 2017)
{ | Чураков, & Евсеева, 2005 | | |zu:4723341:87X9G7V3}	(Churakov & Evseeva 2005)
{ | Чураков, et al., 1995 | | |zu:4723341:2Y6U2IB4}	(Churakov et al. 1995)
{ | Шембель, 1915 | | |zu:4723341:NU47VENR}	(Shembel 1915)
{ | Шембель, 1923 | | |zu:4723341:48RUG5HX}	(Shembel 1923)
{ | Шепель, 2008 | | |zu:4723341:YZXFRD55}	(Shepel’ 2008)
{ | Ширяев, & Волобуев, 2013 | | |zu:4723341:58UR2UKH}	(Shiryaev & Volobuev 2013)
{ | Ширяев, & Матвеева, 2015 | | |zu:4723341:VFQ93N8Z}	(Shiryaev 2015)
{ | Ширяев, & Руоколайнен, 2017 | | |zu:4723341:FVZXCD5Y}	(Shiryaev & Ruokolainen 2017)
{ | Ширяев, & Таскаев, 2000 | | |zu:4723341:HKSWB22K}	(Shiryaev 2000)
{ | Ширяев, 2008 | | |zu:4723341:5CBH2TMD}	(Shiryaev 2008b)
{ | Ширяев, 2009 | | |zu:4723341:RL4IS582}	(Shiryaev 2009)
{ | Ширяев, 2012 | | |zu:4723341:E2L7Y4CL}	(Shiryaev 2012)
{ | Ширяев, 2013 | | |zu:4723341:AP5U7FCV}	(Shiryaev 2013b)
{ | Ширяев, 2013 | | |zu:4723341:I3WH2E9C}	(Shiryaev 2013a)
{ | Ширяев, 2014 | | |zu:4723341:CQHNL8GH}	(Shiryaev 2014)
{ | Ширяев, 2016 | | |zu:4723341:DKRYFBJ4}	(Shiryaev 2016)
{ | Ширяев, et al., 2017 | | |zu:4723341:9GBSX3YP}	(Shiryaev et al. 2017)
{ | Шляхтин, & Болдырев, 2021 | | |zu:4723341:JLGM4AZI}	(Shlyakhtin & Boldyrev 2021)
{ | Шляхтин, 2006 | | |zu:4723341:3PE5DB93}	(Shlyakhtin 2006)
{ | Штукенберг, 1913 | | |zu:4723341:36L99UJY}	(Shtukenberg 1913)
{ | Щербаков, 2010 | | |zu:4723341:Q7K23PBL}	(Shcherbakov 2010)
{ | Щербаков, 2014 | | |zu:4723341:2NB4JN46}	(Shcherbakov 2014)
{ | Юницкий, 1927 | | |zu:4723341:KG4LSHUQ}	(Yunitsky 1927)
{ | Юпина, & Дёмина, 2005 | | |zu:4723341:KMDPN4HF}	(Yupina & Dyomina 2005)
{ | Юпина, 1987 | | |zu:4723341:MKGJTV9Z}	(Yupina 1987)
{ | Юпина, 2010 | | |zu:4723341:62SF6ENU}	(Yupina 2010)
{ | Юпина, et al., 2005 | | |zu:4723341:XD3X7MJL}	(Yupina 2005)
{ | Юпина, et al., 2009 | | |zu:4723341:MIWH6NFB}	(Yupina & Potapov 2009)
{ | Юпина, et al., 2012 | | |zu:4723341:UQUEIC2H}	(Yupina & Ivanova 2012)
{ | Юпина, et al., 2013 | | |zu:4723341:9MDT94LD}	(Yupina & Potapov 2013)
{ | Ячевский, 1895 | | |zu:4723341:ZFCAW2IW}	(Jaczewski 1895)
{ | Ячевский, 1913 | | |zu:4723341:ASXJY6TV}	(Jaczewski 1913)
