ZoteroScannableCite
{ | Zmitrovich, et al., 2007 | | |zu:4723341:DRMB6EHF}
{ | Zmitrovich, et al., 2010 | | |zu:4723341:Z736XPWS}
{ | Zmitrovich, et al., 2014 | | |zu:4723341:H4PAQXDG}
{ | Zmitrovich, et al., 2015 | | |zu:4723341:WD4PABGY}
{ | Zmitrovich, et al., 2016 | | |zu:4723341:K4U579J3}
{ | Zmitrovich, et al., 2017 | | |zu:4723341:2PDW9KAZ}
{ | Zmitrovich, et al., 2018 | | |zu:4723341:6IK6F8JS}
{ | Zmitrovich, et al., 2019 | | |zu:4723341:49846L82}
{ | Zmitrovich, et al., 2019 | | |zu:4723341:UJTZYLMA}
{ | Zmitrovich, et al., 2020 | | |zu:4723341:GB5UFSJJ}
{ | Агафонов, 2011 | | |zu:4723341:XUEXS98Y}
{ | Агафонов, 2018 | | |zu:4723341:QFN5H2NJ}
{ | Азбукина, et al., 2010 | | |zu:4723341:2ZC3QY9K}
{ | Александров, et al., 2014 | | |zu:4723341:SS6ZNMLI}
{ | Алексеев, 1927 | | |zu:4723341:SD8CXNWD}
{ | Алексеев, et al., 2006 | | |zu:4723341:VWIZ6L29}
{ | Алферова, & Камышев, 1977 | | |zu:4723341:MD65J6SL}
{ | Альструп, et al., 2005 | | |zu:4723341:UEYYWBLH}
{ | Алявдина, 1928 | | |zu:4723341:AU4Y4QY8}
{ | Алявдина, et al., 1949 | | |zu:4723341:J7HNL3PT}
{ | Андерссон, 2005 | | |zu:4723341:RQUDMHC8}
{ | Антохина, et al., 2015 | | |zu:4723341:LVLHYE4F}
{ | Ануфриев, et al., 2020 | | |zu:4723341:97MEF7Y7}
{ | Апросина, & Сионова, 2013 | | |zu:4723341:DNKCR78K}
{ | Аржененко, & Волобуев, 2017 | | |zu:4723341:4GUD4C5F}
{ | Арсланов, & Литвинова, 2012 | | |zu:4723341:54RY7SQA}
{ | Арсланов, & Литвинова, 2014 | | |zu:4723341:BB4NLH36}
{ | Артемьева, et al., 2015 | | |zu:4723341:X3C8QEGQ}
{ | Атаев, & Володина, 2020 | | |zu:4723341:ZL6HCI3H}
{ | Афанасьев, et al., 2007 | | |zu:4723341:N6KH3UJI}
{ | Баклан, et al., 2015 | | |zu:4723341:7APMD5GI}
{ | Бакланов, 2018 | | |zu:4723341:8JRKBM6J}
{ | Бакташева, 2014 | | |zu:4723341:UBPS8EMJ}
{ | Баранова, & Сагалаев, 2017 | | |zu:4723341:SWDH6ZUF}
{ | Баранова, 2012 | | |zu:4723341:TGNLQYIW}
{ | Баранова, et al., 2014 | | |zu:4723341:ANVELLIF}
{ | Барсукова, & Гаврилов, 2005 | | |zu:4723341:ENNA63E6}
{ | Барсукова, & Дунаев, 2001 | | |zu:4723341:KU7HDQD5}
{ | Барсукова, & Мамедова, 2001 | | |zu:4723341:LH8DBI6S}
{ | Барсукова, 1999 | | |zu:4723341:3NC94FBE}
{ | Барсукова, 2000 | | |zu:4723341:DD6Z4LGD}
{ | Беденко, 1985 | | |zu:4723341:EW6KX3CX}
{ | Белов, 2019 | | |zu:4723341:A8YWAQWZ}
{ | Блинова, & Химич, 2012 | | |zu:4723341:T5LL223W}
{ | Богданов, & Демаков, 2015 | | |zu:4723341:95GYBXYQ}
{ | Богданов, et al., 2013 | | |zu:4723341:625582PF}
{ | Большаков, & Волобуев, 2016 | | |zu:4723341:M8IG7APC}
{ | Большаков, & Змитрович, 2014 | | |zu:4723341:VNXPCNB3}
{ | Большаков, & Змитрович, 2015 | | |zu:4723341:NUVZGQE2}
{ | Большаков, & Ивойлов, 2012 | | |zu:4723341:S36G5UNT}
{ | Большаков, & Мухин, 2015 | | |zu:4723341:I8CDM25K}
{ | Большаков, & Силаева, 2012 | | |zu:4723341:J6QM67G8}
{ | Большаков, et al., 2012 | | |zu:4723341:EAZCPFU7}
{ | Бондарцев, & Зингер, 1936 | | |zu:4723341:Q6Z76U83}
{ | Бондарцев, & Кравцев, 1952 | | |zu:4723341:9D97VAQA}
{ | Бондарцев, & Лебедева, 1914 | | |zu:4723341:S2QLB8II}
{ | Бондарцев, & Савич, 1935 | | |zu:4723341:UXUWT8V8}
{ | Бондарцев, & Савич, 1936 | | |zu:4723341:K9GUY75E}
{ | Бондарцев, & Савич, 1953 | | |zu:4723341:ZXB5NY2T}
{ | Бондарцев, 1906 | | |zu:4723341:TR7JHJ3Y}
{ | Бондарцев, 1908 | | |zu:4723341:DZ7NIM76}
{ | Бондарцев, 1912 | | |zu:4723341:YA9Y69BQ}
{ | Бондарцев, 1924 | | |zu:4723341:ADA5PJM8}
{ | Бондарцев, 1924 | | |zu:4723341:QUPI3YHG}
{ | Бондарцев, 1940 | | |zu:4723341:98LJ3RJL}
{ | Бондарцев, 1950 | | |zu:4723341:DQI9NXZP}
{ | Бондарцев, 1955 | | |zu:4723341:ND58XU44}
{ | Бондарцева, & Коваленко, 1998 | | |zu:4723341:EJ75MK7B}
{ | Бондарцева, & Присный, 2021 | | |zu:4723341:PJFGB2WV}
{ | Бондарцева, & Свищ, 1993 | | |zu:4723341:MLJHT3K6}
{ | Бондарцева, 1962 | | |zu:4723341:UG6AI6UD}
{ | Бондарцева, 1964 | | |zu:4723341:9H8382UC}
{ | Бондарцева, 1965 | | |zu:4723341:5U388Q4M}
{ | Бондарцева, 1970 | | |zu:4723341:HKYQQY28}
{ | Бондарцева, 1995 | | |zu:4723341:5N2YLET9}
{ | Бондарцева, et al., 1978 | | |zu:4723341:KWC2TL9Q}
{ | Бондарцева, et al., 1986 | | |zu:4723341:Z7QIMU7Q}
{ | Бондарцева, et al., 1999 | | |zu:4723341:DUIIENCV}
{ | Бондарцева, et al., 1999 | | |zu:4723341:P76SEPII}
{ | Бондарцева, et al., 2001 | | |zu:4723341:JPIU5PJ7}
{ | Бондарцева, et al., 2014 | | |zu:4723341:XLJBJYBC}
{ | Бондарцева, et al., 2015 | | |zu:4723341:R5IP6YQG}
{ | Борисова, & Минеева, 2020 | | |zu:4723341:CF7P2IL2}
{ | Боровичев, et al., 2021 | | |zu:4723341:G2732IA6}
